Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;
01.08.18;07:34:51;1;1;0.2088;0.2461;0.2784;0.2392;0.2672;0.2603;0.2583;0.2789;0.2779;0.2681;0.2466;0.2343;0.2804;0.2877;0.2799;0.2343;0.2745;0.2578;0.2564;0.2338;0.4755;0.5495;0.6054;0.5363;0.5765;0.5691;0.5520;0.6078;0.6103;0.5824;0.5348;0.5088;0.6034;0.6250;0.6157;0.5211;0.6005;0.5701;0.5637;0.5201;0.561;0.552;0.540;0.554;0.537;0.543;0.532;0.541;0.545;0.540;0.539;0.539;0.535;0.540;0.545;0.550;0.543;0.548;0.545;0.550;
01.08.18;07:35:13;2;2;0.2137;0.2505;0.2824;0.2441;0.2706;0.2647;0.2637;0.2838;0.2824;0.2721;0.2515;0.2387;0.2863;0.2941;0.2853;0.2392;0.2799;0.2637;0.2627;0.2387;0.4657;0.5363;0.5926;0.5240;0.5627;0.5578;0.5412;0.5961;0.5980;0.5706;0.5260;0.4971;0.5951;0.6157;0.6010;0.5098;0.5877;0.5618;0.5520;0.5113;0.541;0.533;0.524;0.534;0.519;0.525;0.513;0.524;0.528;0.523;0.522;0.520;0.519;0.522;0.525;0.531;0.524;0.531;0.524;0.533;
01.08.18;07:35:33;3;52;0.2480;0.2961;0.3265;0.2941;0.3123;0.3054;0.2966;0.3255;0.3230;0.3142;0.2814;0.2657;0.3294;0.3353;0.3270;0.2706;0.3196;0.2995;0.2971;0.2681;0.4515;0.5250;0.5725;0.5103;0.5422;0.5431;0.5240;0.5784;0.5819;0.5554;0.5137;0.4858;0.5740;0.5961;0.5843;0.4971;0.5701;0.5480;0.5358;0.4985;0.451;0.436;0.430;0.424;0.424;0.438;0.434;0.437;0.445;0.434;0.452;0.453;0.426;0.438;0.440;0.456;0.439;0.453;0.446;0.462;
01.08.18;07:35:53;4;102;0.2559;0.3064;0.3333;0.3059;0.3221;0.3211;0.3044;0.3436;0.3407;0.3299;0.2946;0.2755;0.3412;0.3500;0.3407;0.2794;0.3348;0.3132;0.3132;0.2819;0.4225;0.5010;0.5333;0.4814;0.5069;0.5137;0.4931;0.5485;0.5510;0.5255;0.4882;0.4588;0.5358;0.5623;0.5520;0.4691;0.5382;0.5196;0.5074;0.4765;0.394;0.388;0.375;0.365;0.365;0.375;0.383;0.374;0.382;0.372;0.397;0.400;0.363;0.378;0.383;0.404;0.378;0.397;0.383;0.408;
01.08.18;07:36:13;5;204;0.2799;0.3377;0.3593;0.3363;0.3456;0.3500;0.3270;0.3725;0.3721;0.3608;0.3245;0.3015;0.3662;0.3779;0.3711;0.3074;0.3662;0.3456;0.3407;0.3127;0.3912;0.4730;0.4941;0.4534;0.4711;0.4848;0.4603;0.5142;0.5181;0.4922;0.4608;0.4314;0.4990;0.5270;0.5167;0.4431;0.5039;0.4917;0.4745;0.4529;0.284;0.286;0.273;0.258;0.266;0.278;0.290;0.276;0.282;0.267;0.296;0.301;0.266;0.283;0.282;0.306;0.273;0.297;0.282;0.310;
01.08.18;07:36:34;6;308;0.2819;0.3436;0.3574;0.3417;0.3422;0.3549;0.3275;0.3765;0.3770;0.3657;0.3299;0.3069;0.3647;0.3814;0.3730;0.3147;0.3696;0.3534;0.3441;0.3230;0.3574;0.4368;0.4495;0.4196;0.4299;0.4495;0.4250;0.4765;0.4794;0.4544;0.4255;0.3961;0.4574;0.4877;0.4750;0.4118;0.4662;0.4578;0.4373;0.4240;0.211;0.213;0.205;0.186;0.204;0.210;0.230;0.210;0.214;0.195;0.225;0.225;0.203;0.218;0.215;0.236;0.207;0.228;0.213;0.238;
01.08.18;07:36:54;7;422;0.2716;0.3328;0.3426;0.3324;0.3279;0.3461;0.3167;0.3657;0.3667;0.3559;0.3211;0.2966;0.3520;0.3701;0.3632;0.3098;0.3593;0.3490;0.3358;0.3211;0.3225;0.3966;0.4054;0.3848;0.3907;0.4132;0.3887;0.4382;0.4387;0.4162;0.3897;0.3593;0.4181;0.4475;0.4348;0.3809;0.4265;0.4245;0.4010;0.3926;0.158;0.161;0.155;0.136;0.161;0.163;0.185;0.166;0.164;0.145;0.176;0.175;0.158;0.173;0.165;0.187;0.157;0.178;0.163;0.182;
01.08.18;07:37:14;8;540;0.2549;0.3108;0.3176;0.3118;0.3078;0.3265;0.2971;0.3441;0.3451;0.3343;0.3015;0.2775;0.3294;0.3480;0.3412;0.2931;0.3363;0.3299;0.3157;0.3049;0.2912;0.3559;0.3627;0.3500;0.3539;0.3770;0.3520;0.3990;0.3985;0.3784;0.3525;0.3235;0.3794;0.4069;0.3951;0.3466;0.3873;0.3863;0.3637;0.3588;0.125;0.127;0.124;0.109;0.130;0.134;0.156;0.138;0.134;0.117;0.145;0.142;0.132;0.145;0.136;0.154;0.132;0.146;0.132;0.150;
01.08.18;07:37:35;9;667;0.2407;0.2902;0.2985;0.2936;0.2892;0.3078;0.2804;0.3255;0.3265;0.3157;0.2853;0.2603;0.3103;0.3289;0.3201;0.2765;0.3186;0.3132;0.2995;0.2897;0.2652;0.3211;0.3294;0.3196;0.3221;0.3441;0.3211;0.3642;0.3642;0.3461;0.3221;0.2922;0.3446;0.3706;0.3588;0.3157;0.3534;0.3529;0.3319;0.3284;0.092;0.096;0.094;0.081;0.102;0.105;0.127;0.106;0.104;0.088;0.114;0.109;0.100;0.112;0.108;0.124;0.098;0.113;0.097;0.118;
01.08.18;07:37:55;10;814;0.2240;0.2681;0.2770;0.2725;0.2681;0.2858;0.2598;0.3020;0.3015;0.2922;0.2637;0.2417;0.2877;0.3054;0.2961;0.2593;0.2936;0.2897;0.2779;0.2696;0.2426;0.2917;0.3010;0.2922;0.2941;0.3147;0.2926;0.3338;0.3314;0.3167;0.2917;0.2667;0.3157;0.3397;0.3255;0.2902;0.3216;0.3196;0.3034;0.3005;0.077;0.081;0.080;0.067;0.088;0.092;0.112;0.095;0.090;0.077;0.096;0.094;0.089;0.101;0.090;0.106;0.087;0.094;0.084;0.103;
01.08.18;07:38:15;11;1038;0.2147;0.2549;0.2647;0.2588;0.2569;0.2721;0.2485;0.2877;0.2882;0.2779;0.2515;0.2294;0.2735;0.2907;0.2809;0.2466;0.2770;0.2770;0.2637;0.2574;0.2250;0.2686;0.2784;0.2701;0.2721;0.2897;0.2696;0.3069;0.3064;0.2912;0.2686;0.2446;0.2907;0.3123;0.2995;0.2662;0.2931;0.2961;0.2794;0.2760;0.046;0.051;0.049;0.042;0.056;0.061;0.078;0.062;0.059;0.045;0.064;0.062;0.059;0.069;0.062;0.074;0.055;0.065;0.056;0.067;
01.08.18;07:38:35;12;1290;0.2029;0.2382;0.2500;0.2436;0.2426;0.2554;0.2343;0.2696;0.2701;0.2608;0.2363;0.2157;0.2578;0.2730;0.2647;0.2319;0.2578;0.2588;0.2490;0.2412;0.2108;0.2480;0.2603;0.2510;0.2534;0.2681;0.2505;0.2838;0.2833;0.2701;0.2485;0.2270;0.2701;0.2882;0.2770;0.2456;0.2691;0.2716;0.2593;0.2534;0.037;0.040;0.040;0.029;0.043;0.048;0.065;0.050;0.047;0.034;0.049;0.050;0.045;0.053;0.044;0.056;0.042;0.047;0.040;0.048;
01.08.18;07:38:56;13;1633;0.1936;0.2255;0.2387;0.2304;0.2294;0.2412;0.2225;0.2554;0.2559;0.2471;0.2235;0.2054;0.2446;0.2574;0.2520;0.2206;0.2431;0.2436;0.2363;0.2284;0.1971;0.2309;0.2441;0.2353;0.2358;0.2485;0.2324;0.2637;0.2637;0.2525;0.2309;0.2118;0.2515;0.2672;0.2593;0.2289;0.2495;0.2505;0.2417;0.2358;0.000;0.023;0.022;0.021;0.027;0.030;0.042;0.032;0.030;0.021;0.032;0.030;0.027;0.037;0.028;0.036;0.026;0.027;0.022;0.031;
